algorithm,descriptors,training_set,word_embedding,top1,MRR
atm_0,atm,android,fast,0.474777448,0.678485666
atm_0,atm,android,glove,0.569732938,0.743761527
atm_0,atm,android,w2v,0.471810089,0.683585742
atm_0,atm,android,wm,0.572700297,0.74331149
atm_0,craftdroid,android,fast,0.376854599,0.605942532
atm_0,craftdroid,android,glove,0.418397626,0.639930055
atm_0,craftdroid,android,w2v,0.394658754,0.618538391
atm_0,craftdroid,android,wm,0.456973294,0.682398012
atm_0,intersection,android,fast,0.477744807,0.684519306
atm_0,intersection,android,glove,0.540059347,0.731174871
atm_0,intersection,android,w2v,0.46884273,0.683036749
atm_0,intersection,android,wm,0.53115727,0.726708901
atm_0,union,android,fast,0.382789318,0.605226535
atm_0,union,android,glove,0.459940653,0.659782944
atm_0,union,android,w2v,0.388724036,0.607716653
atm_0,union,android,wm,0.43620178,0.67585216
craftdroid,atm,android,fast,0.537091988,0.717181126
craftdroid,atm,android,glove,0.534124629,0.713065646
craftdroid,atm,android,w2v,0.522255193,0.710349081
craftdroid,atm,android,wm,0.540059347,0.720359413
craftdroid,craftdroid,android,fast,0.412462908,0.639120886
craftdroid,craftdroid,android,glove,0.454005935,0.659195893
craftdroid,craftdroid,android,w2v,0.442136499,0.658791509
craftdroid,craftdroid,android,wm,0.49851632,0.688089503
craftdroid,intersection,android,fast,0.516320475,0.704409921
craftdroid,intersection,android,glove,0.516320475,0.704142736
craftdroid,intersection,android,w2v,0.50148368,0.699345018
craftdroid,intersection,android,wm,0.519287834,0.710424392
craftdroid,union,android,fast,0.439169139,0.649977653
craftdroid,union,android,glove,0.480712166,0.666195433
craftdroid,union,android,w2v,0.465875371,0.664955844
craftdroid,union,android,wm,0.504451039,0.687914653
custom,atm,android,fast,0.572700297,0.742275097
custom,atm,android,glove,0.560830861,0.7343986
custom,atm,android,w2v,0.56379822,0.742662799
custom,atm,android,wm,0.640949555,0.779637883
custom,craftdroid,android,fast,0.50148368,0.697308648
custom,craftdroid,android,glove,0.519287834,0.718520569
custom,craftdroid,android,w2v,0.486646884,0.702787713
custom,craftdroid,android,wm,0.614243323,0.762863082
custom,intersection,android,fast,0.540059347,0.726392231
custom,intersection,android,glove,0.537091988,0.725658532
custom,intersection,android,w2v,0.513353116,0.715307536
custom,intersection,android,wm,0.581602374,0.753000643
custom,union,android,fast,0.554896142,0.725177057
custom,union,android,glove,0.540059347,0.711633352
custom,union,android,w2v,0.53115727,0.716882015
custom,union,android,wm,0.643916914,0.7676493
atm_0,atm,blogs,fast,0.513353116,0.708729316
atm_0,atm,blogs,glove,0.545994065,0.731905447
atm_0,atm,blogs,w2v,0.510385757,0.702370126
atm_0,atm,blogs,wm,0.617210682,0.765481182
atm_0,craftdroid,blogs,fast,0.400593472,0.618721699
atm_0,craftdroid,blogs,glove,0.415430267,0.630878242
atm_0,craftdroid,blogs,w2v,0.40652819,0.622766432
atm_0,craftdroid,blogs,wm,0.483679525,0.700681077
atm_0,intersection,blogs,fast,0.49851632,0.700894211
atm_0,intersection,blogs,glove,0.548961424,0.734601622
atm_0,intersection,blogs,w2v,0.492581602,0.696353359
atm_0,intersection,blogs,wm,0.557863501,0.734133309
atm_0,union,blogs,fast,0.385756677,0.608496588
atm_0,union,blogs,glove,0.412462908,0.628077703
atm_0,union,blogs,w2v,0.388724036,0.608454662
atm_0,union,blogs,wm,0.471810089,0.696974788
craftdroid,atm,blogs,fast,0.522255193,0.696524909
craftdroid,atm,blogs,glove,0.560830861,0.72479663
craftdroid,atm,blogs,w2v,0.534124629,0.703462168
craftdroid,atm,blogs,wm,0.548961424,0.710962539
craftdroid,craftdroid,blogs,fast,0.462908012,0.663716758
craftdroid,craftdroid,blogs,glove,0.49851632,0.682905046
craftdroid,craftdroid,blogs,w2v,0.471810089,0.664179222
craftdroid,craftdroid,blogs,wm,0.49851632,0.680175761
