event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,onboarding_screen1_next_button,Yes!,Yes!,,android.widget.Button,clickable,,,,,,,correct,.view.WelcomeActivity,
0,onboarding_screen1_top_layout,Welcome to EasyBudget,Welcome to EasyBudget,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
0,onboarding_screen1_top_layout,The concept is simple: You enter your recurring and daily expenses and incomes and the app keeps track of how much money you have had and will have at any given moment. It's as simple as that.,The concept is simple: You enter your recurring and daily expenses and incomes and the app keeps track of how much money you have had and will have at any given moment. It's as simple as that.,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
0,onboarding_screen1_top_layout,Ready?,Ready?,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
1,onboarding_screen2_next_button,Go with $,Go with $,,android.widget.Button,clickable,,,,,,,correct,.view.WelcomeActivity,
1,welcome_view_pager,Let's get to know each other!,Let's get to know each other!,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
1,welcome_view_pager,Step 1: What currency do you use? (You can change it later in the settings),Step 1: What currency do you use? (You can change it later in the settings),,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,$ - US Dollar,$ - US Dollar,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,€ - Euro,€ - Euro,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,£ - British Pound Sterling,£ - British Pound Sterling,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,A$ - Australian Dollar,A$ - Australian Dollar,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,CA$ - Canadian Dollar,CA$ - Canadian Dollar,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,SGD - Singapore Dollar,SGD - Singapore Dollar,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
1,currency_cell_title_tv,CHF - Swiss Franc,CHF - Swiss Franc,,android.widget.TextView,clickable,,,,,,,wrong,.view.WelcomeActivity,
2,onboarding_screen3_next_button,Start with $0.00,Start with $0.00,,android.widget.Button,clickable,,,,,,,correct,.view.WelcomeActivity,
2,onboarding_screen_3_top_layout,Let's get to know each other!,Let's get to know each other!,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
2,onboarding_screen_3_top_layout,Step 2: How much do you currently have on your account? (You can set and change it later),Step 2: How much do you currently have on your account? (You can set and change it later),,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
2,onboarding_screen3_initial_amount_money_tv,$,$,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
2,onboarding_screen3_initial_amount_et,0,onboarding_screen _initial_amount_et Step 2: How much do you currently have on your account? (You can set and change it later),,android.widget.EditText,fillable,,,,,,Step 2: How much do you currently have on your account? (You can set and change it later) Step 2: How much do you currently have on your account? (You can set and change it later),wrong,.view.WelcomeActivity,$
3,onboarding_screen4_next_button,Let's go!,Let's go!,,android.widget.Button,clickable,,,,,,,correct,.view.WelcomeActivity,
3,onboarding_screen4_top_layout,All set!,All set!,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
3,onboarding_screen4_top_layout,(That was easy huh?),(That was easy huh?),,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
3,onboarding_screen4_top_layout,What do you have to do next?,What do you have to do next?,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
3,onboarding_screen4_top_layout,1. Add recurring expenses and incomes (salary rent bills…) 2. Don't forget to add your daily expenses and incomes during the day,1. Add recurring expenses and incomes (salary rent bills…) 2. Don't forget to add your daily expenses and incomes during the day,,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
3,onboarding_screen4_top_layout,Thank you for using EasyBudget and welcome :),Thank you for using EasyBudget and welcome :),,android.widget.TextView,label,,,,,,,wrong,.view.WelcomeActivity,
4,fab_expand_menu_button,,fab_expand_menu_button,,android.widget.ImageButton,clickable,,,,,,,correct,.view.MainActivity,
4,null,EasyBudget,EasyBudget,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
4,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.view.MainActivity,
4,calendar_month_year_ view,DECEMBER 2020,DECEMBER 2020,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
4,calendar_left_arrow,<,<,,android.widget.Button,clickable,,,,,,,wrong,.view.MainActivity,
4,calendar_right_arrow,>,>,,android.widget.Button,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,MON,MON,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,TUE,TUE,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,WED,WED,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,THU,THU,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,FRI,FRI,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,SAT,SAT,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,weekday_gridview,SUN,SUN,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,30,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,1,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,2,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,3,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,4,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,5,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,6,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,7,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,8,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,9,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,10,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,11,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,12,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,13,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,14,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,15,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,16,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,17,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,18,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,19,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,20,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,21,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,22,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,23,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,24,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,25,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,26,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,27,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,28,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,29,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,30,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,31,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,1,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,grid_cell_tv1,2,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
4,budgetLine,Balance on Dec 08:,Balance on Dec 08:,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
4,budgetLineAmount,$0.00,$0.00 Balance on Dec 08:,,android.widget.TextView,label,,,,,,Balance on Dec 08: Balance on Dec 08:,wrong,.view.MainActivity,
4,null,No income or expense yet.,No income or expense yet.,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
5,fab_new_expense,,fab_new_expense,,android.widget.ImageButton,clickable,,,,,,,correct,.view.MainActivity,
5,null,EasyBudget,EasyBudget,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
5,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.view.MainActivity,
5,calendar_month_year_ view,DECEMBER 2020,DECEMBER 2020,,android.widget.TextView,label,,,,,,,wrong,.view.MainActivity,
5,calendar_left_arrow,<,<,,android.widget.Button,clickable,,,,,,,wrong,.view.MainActivity,
5,calendar_right_arrow,>,>,,android.widget.Button,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,MON,MON,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,TUE,TUE,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,WED,WED,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,THU,THU,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,FRI,FRI,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,SAT,SAT,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,weekday_gridview,SUN,SUN,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,30,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,1,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,2,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,3,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,4,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,5,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,6,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,7,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
5,grid_cell_tv1,8,grid_cell_tv,,android.widget.TextView,clickable,,,,,,,wrong,.view.MainActivity,
