event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,fab_add,,ic_add_black_24dp fab_add,ic_add_black_24dp,android.widget.ImageButton,clickable,,,,,,,correct,.activity.MainActivity,
0,drawer_layout,Shopping List,Shopping List,,android.widget.TextView,label,,,,,,,wrong,.activity.MainActivity,
0,action_delete_checked,,Delete checked items action_delete_checked,,android.widget.TextView,clickable,Delete checked items,,,Shopping List,,,wrong,.activity.MainActivity,
0,drawer_layout,,Sort,,android.widget.TextView,clickable,Sort,,,,,,wrong,.activity.MainActivity,
0,drawer_layout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.activity.MainActivity,
0,drawer_layout,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.activity.MainActivity,
1,new_item_description,New Item,New Item,,android.widget.EditText,fillable,,,,,,,correct,.activity.MainActivity,
1,drawer_layout,Shopping List,Shopping List,,android.widget.TextView,label,,,,,,,wrong,.activity.MainActivity,
1,action_delete_checked,,Delete checked items action_delete_checked,,android.widget.TextView,clickable,Delete checked items,,,Shopping List,,,wrong,.activity.MainActivity,
1,drawer_layout,,Sort,,android.widget.TextView,clickable,Sort,,,,,,wrong,.activity.MainActivity,
1,drawer_layout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.activity.MainActivity,
1,drawer_layout,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.activity.MainActivity,
1,new_item_quantity,Quantity,Quantity,,android.widget.EditText,fillable,,,,New Item,,,wrong,.activity.MainActivity,
2,button_add_new_item,,ic_done_black_36dp Done button_add_new_item,ic_done_black_36dp,android.widget.ImageButton,clickable,Done,,,Quantity,,,correct,.activity.MainActivity,
2,drawer_layout,Shopping List,Shopping List,,android.widget.TextView,label,,,,,,,wrong,.activity.MainActivity,
2,action_delete_checked,,Delete checked items action_delete_checked,,android.widget.TextView,clickable,Delete checked items,,,Shopping List,,,wrong,.activity.MainActivity,
2,drawer_layout,,Sort,,android.widget.TextView,clickable,Sort,,,,,,wrong,.activity.MainActivity,
2,drawer_layout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.activity.MainActivity,
2,drawer_layout,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.activity.MainActivity,
2,new_item_description,Sample Todo,New Item,,android.widget.EditText,fillable,,,,,New Item,,wrong,.activity.MainActivity,
2,new_item_quantity,Quantity,Quantity,,android.widget.EditText,fillable,,,,Sample Todo,Quantity,,wrong,.activity.MainActivity,
3, _description,Sample Todo,Sample Todo,,android.widget.TextView,clickable,,,,,,,correct,.activity.MainActivity,
3,drawer_layout,Shopping List,Shopping List,,android.widget.TextView,label,,,,,,,wrong,.activity.MainActivity,
3,action_delete_checked,,Delete checked items action_delete_checked,,android.widget.TextView,clickable,Delete checked items,,,Shopping List,,,wrong,.activity.MainActivity,
3,drawer_layout,,Sort,,android.widget.TextView,clickable,Sort,,,,,,wrong,.activity.MainActivity,
3,drawer_layout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.activity.MainActivity,
3,drawer_layout,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.activity.MainActivity,
3, _quantity,,_quantity,,android.widget.TextView,clickable,,,,Sample Todo,,,wrong,.activity.MainActivity,
3,drag_n_drop_handler,,ic_swap_vert_black_24dp Swap drag_n_drop_handler,ic_swap_vert_black_24dp,android.widget.ImageView,clickable,Swap,,,,,,wrong,.activity.MainActivity,
3,new_item_description,New Item,New Item,,android.widget.EditText,fillable,,,,,New Item,,wrong,.activity.MainActivity,
3,new_item_quantity,Quantity,Quantity,,android.widget.EditText,fillable,,,,New Item,Quantity,,wrong,.activity.MainActivity,
