event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,billAmountET,0,billAmountET Bill,,android.widget.EditText,fillable,,,,,,Bill Bill,correct,.Calculator,
0,drawerLayout,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,drawerLayout,,drawer open,,android.widget.ImageButton,clickable,drawer open,,,,,,wrong,.Calculator,
0,drawerLayout,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,drawerLayout,,ÖFFNEN,,android.view.View,clickable,ÖFFNEN,,,,,,wrong,.Calculator,
0,drawerLayout,,lisec.com,,android.view.View,clickable,lisec.com,,,,,,wrong,.Calculator,
0,drawerLayout,,Intelligente Automationslösungen für einereibungslose Produktion. Informieren!,,android.view.View,clickable,Intelligente Automationslösungen für einereibungslose Produktion. Informieren!,,,,,,wrong,.Calculator,
0,drawerLayout,,Glasbearbeitungsmaschinen,,android.view.View,clickable,Glasbearbeitungsmaschinen,,,,,,wrong,.Calculator,
0,drawerLayout,Tip,Bill Tip,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,drawerLayout,Total,Total,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,totalBillAmountTV,0,totalBillAmountTV Total,,android.widget.TextView,label,,,,,,Total Total,wrong,.Calculator,
0,totalTipTV,0,totalTipTV,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,drawerLayout,Each,Each,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,perPersonBillTV,0,perPersonBillTV Each,,android.widget.TextView,label,,,,,,Each Each,wrong,.Calculator,
0,perPersonTipTV,0,perPersonTipTV,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,drawerLayout,Bill,Bill,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,tipPercentET,0,tipPercentET Tip percent,,android.widget.EditText,fillable,,,,,,Tip percent Tip percent,wrong,.Calculator,
0,drawerLayout,Tip percent,Tip percent,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,guestNumberET,1,guestNumberET # of people,,android.widget.EditText,fillable,,,,,,# of people # of people,wrong,.Calculator,
0,drawerLayout,# of people,# of people,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
0,resetBtn,Reset,Reset,,android.widget.Button,clickable,,,,,,,wrong,.Calculator,
0,calculateBtn,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,wrong,.Calculator,
1,tipPercentET,0,tipPercentET Tip percent,,android.widget.EditText,fillable,,,,,,Tip percent Tip percent,correct,.Calculator,
1,drawerLayout,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,drawerLayout,,drawer open,,android.widget.ImageButton,clickable,drawer open,,,,,,wrong,.Calculator,
1,drawerLayout,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,drawerLayout,,ÖFFNEN,,android.view.View,clickable,ÖFFNEN,,,,,,wrong,.Calculator,
1,drawerLayout,,lisec.com,,android.view.View,clickable,lisec.com,,,,,,wrong,.Calculator,
1,drawerLayout,,Glasbearbeitungsmaschinen,,android.view.View,clickable,Glasbearbeitungsmaschinen,,,,,,wrong,.Calculator,
1,drawerLayout,Tip,Bill Tip,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,drawerLayout,Total,Total,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,totalBillAmountTV,0,totalBillAmountTV Total,,android.widget.TextView,label,,,,,,Total Total,wrong,.Calculator,
1,totalTipTV,0,totalTipTV,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,drawerLayout,Each,Each,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,perPersonBillTV,0,perPersonBillTV Each,,android.widget.TextView,label,,,,,,Each Each,wrong,.Calculator,
1,perPersonTipTV,0,perPersonTipTV,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,billAmountET,56.6,billAmountET Bill,,android.widget.EditText,fillable,,,,,,Bill Bill,wrong,.Calculator,
1,drawerLayout,Bill,Bill,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,drawerLayout,Tip percent,Tip percent,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,guestNumberET,1,guestNumberET # of people,,android.widget.EditText,fillable,,,,,,# of people # of people,wrong,.Calculator,
1,drawerLayout,# of people,# of people,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
1,resetBtn,Reset,Reset,,android.widget.Button,clickable,,,,,,,wrong,.Calculator,
1,calculateBtn,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,wrong,.Calculator,
2,calculateBtn,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,correct,.Calculator,
2,drawerLayout,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
2,drawerLayout,,drawer open,,android.widget.ImageButton,clickable,drawer open,,,,,,wrong,.Calculator,
2,drawerLayout,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.Calculator,
2,drawerLayout,,ÖFFNEN,,android.view.View,clickable,ÖFFNEN,,,,,,wrong,.Calculator,
