event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,newNote,,New note newNote,,android.widget.ImageButton,clickable,New note,,,,,,correct,.MainActivity,
0,null,Swiftnotes,Swiftnotes,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,action_search,,Search action_search,,android.widget.TextView,clickable,Search,,,,,,wrong,.MainActivity,
0,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.MainActivity,
0,noNotes,Press '+' to add new note,Press '+' to add new note,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,listView,,listView,,android.widget.ListView,clickable,,,,,,,wrong,.MainActivity,
1,titleEdit,Title,Title,,android.widget.EditText,fillable,,,,,,,correct,.EditActivity,
1,action_note_colour,,Note color action_note_colour,,android.widget.TextView,clickable,Note color,,,,,,wrong,.EditActivity,
1,relativeLayoutEdit,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.EditActivity,
1,relativeLayoutEdit,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.EditActivity,
1,bodyEdit,Note,Note,,android.widget.EditText,fillable,,,,,,,wrong,.EditActivity,
2,bodyEdit,Note,Note,,android.widget.EditText,fillable,,,,,Note,,correct,.EditActivity,
2,action_note_colour,,Note color action_note_colour,,android.widget.TextView,clickable,Note color,,,,,,wrong,.EditActivity,
2,relativeLayoutEdit,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.EditActivity,
2,relativeLayoutEdit,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.EditActivity,
2,titleEdit,To-do,Title,,android.widget.EditText,fillable,,,,,Title,,wrong,.EditActivity,
3,relativeLayoutEdit,,,,android.widget.ImageButton,clickable,,,,,,,correct,.EditActivity,
3,action_note_colour,,Note color action_note_colour,,android.widget.TextView,clickable,Note color,,,,,,wrong,.EditActivity,
3,relativeLayoutEdit,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.EditActivity,
3,titleEdit,To-do,Title,,android.widget.EditText,fillable,,,,,Title,,wrong,.EditActivity,
3,bodyEdit,Go Shopping,Note,,android.widget.EditText,fillable,,,,,Note,,wrong,.EditActivity,
4,button1,Yes,Yes,,android.widget.Button,clickable,,,,,,,correct,.EditActivity,
4,message,Save changes?,Save changes?,,android.widget.TextView,label,,,,,,,wrong,.EditActivity,
4,button2,No,No,,android.widget.Button,clickable,,,,,,,wrong,.EditActivity,
