event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,bill ,,bill,,android.widget.EditText,fillable,,,,,,,correct,.MainActivity,
0,action_bar_title,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,bill ,Bill,Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,tip ,Tip %,Tip %,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,tip ,15.0,tip,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
0,splitBill ,Split Bill,Split Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,splitBill ,# of ways,# of ways,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,Split Bill
0,finalBill ,Final Bill: Verified by Vir,Final Bill: Verified by Vir,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,finalTip ,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,finalTip ,0.0,finalTip,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
0,final ,Total:,Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,finalBill ,0.0,finalBill,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
0,perPerson ,Per Person:,Per Person:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,perPerson ,0.0,perPerson,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
0,signoff ,Thanks for tipping your waiter/waitress!,Thanks for tipping your waiter/waitress!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,tip ,15.0,tip,,android.widget.EditText,fillable,,,,,,,correct,.MainActivity,
1,action_bar_title,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,bill ,Bill,Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,bill ,56.6,bill,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
1,tip ,Tip %,Tip %,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,splitBill ,Split Bill,Split Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,splitBill ,# of ways,# of ways,,android.widget.EditText,fillable,,,,,# of ways,,wrong,.MainActivity,Split Bill
1,finalBill ,Final Bill: Verified by Vir,Final Bill: Verified by Vir,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,finalTip ,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,finalTip ,8.49,finalTip,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
1,final ,Total:,Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,finalBill ,65.09,finalBill,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
1,perPerson ,Per Person:,Per Person:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,perPerson ,65.09,perPerson,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
1,signoff ,Thanks for tipping your waiter/waitress!,Thanks for tipping your waiter/waitress!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,splitBill ,# of ways,# of ways,,android.widget.EditText,fillable,,,,,# of ways,,correct,.MainActivity,Split Bill
2,action_bar_title,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,bill ,Bill,Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,bill ,56.6,bill,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,tip ,Tip %,Tip %,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,tip ,15,tip,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,splitBill ,Split Bill,Split Bill,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,finalBill ,Final Bill: Verified by Vir,Final Bill: Verified by Vir,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,finalTip ,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,finalTip ,8.49,finalTip,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,final ,Total:,Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,finalBill ,65.09,finalBill,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,perPerson ,Per Person:,Per Person:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,perPerson ,65.09,perPerson,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,signoff ,Thanks for tipping your waiter/waitress!,Thanks for tipping your waiter/waitress!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
