event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,etBillTotal,1,etBillTotal,,android.widget.EditText,fillable,,,,,,,correct,.MainActivity,
0,null,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,share_tip_info,,Share share_tip_info,,android.widget.TextView,clickable,Share,,,,,,wrong,.MainActivity,
0,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.MainActivity,
0,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,,buyer-guide-cx-software% Futm_source% Dgoogle% utm_medium% Dretargeting% utm_campaign% Dcountry_dach% Ctactic_visitor-to-lead% Cplacement_gdn% Cfreetext_buyerguide x banner,,android.view.View,clickable,buyer-guide-cx-software%3Futm_source%3Dgoogle%26utm_medium%3Dretargeting%26utm_campaign%3Dcountry_dach%257Ctactic_visitor-to-lead%257Cplacement_gdn%257Cfreetext_buyerguide320x250banner,,,,,,wrong,.MainActivity,
0,null,Enter Bill Info Below!,Enter Bill Info Below!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,Person(s):,Person(s):,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,etPerson,1,etPerson Enter Bill Info Below!,,android.widget.EditText,fillable,,,,,,Enter Bill Info Below! Enter Bill Info Below!,wrong,.MainActivity,Person(s):
0,null,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,%,%,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,etTipAmount,15,etTipAmount,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,Tip:
0,null,Bill Total:,Bill Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,$,$,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,,,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,tvTipTotal,$ 0.15,Tip Amount: $ 0.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,tvTotalWithTip,$ 1.15,Total with Tip: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,tvPersonPay,$ 1.15,Each Person Pays: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,btCalculate,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,wrong,.MainActivity,
0,btReset,Reset,Reset,,android.widget.Button,clickable,,,,,,,wrong,.MainActivity,
0,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,null,,OpenHelsanaTwice the benefits,,android.view.View,clickable,OpenHelsanaTwice the benefits,,,,,,wrong,.MainActivity,
1,etTipAmount,15,etTipAmount,,android.widget.EditText,fillable,,,,,,,correct,.MainActivity,Tip:
1,null,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,share_tip_info,,Share share_tip_info,,android.widget.TextView,clickable,Share,,,,,,wrong,.MainActivity,
1,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.MainActivity,
1,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,,buyer-guide-cx-software% Futm_source% Dgoogle% utm_medium% Dretargeting% utm_campaign% Dcountry_dach% Ctactic_visitor-to-lead% Cplacement_gdn% Cfreetext_buyerguide x banner,,android.view.View,clickable,buyer-guide-cx-software%3Futm_source%3Dgoogle%26utm_medium%3Dretargeting%26utm_campaign%3Dcountry_dach%257Ctactic_visitor-to-lead%257Cplacement_gdn%257Cfreetext_buyerguide320x250banner,,,,,,wrong,.MainActivity,
1,null,Enter Bill Info Below!,Enter Bill Info Below!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,Person(s):,Person(s):,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,etPerson,1,etPerson Enter Bill Info Below!,,android.widget.EditText,fillable,,,,,,Enter Bill Info Below! Enter Bill Info Below!,wrong,.MainActivity,Person(s):
1,null,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,%,%,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,Bill Total:,Bill Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,$,$,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,etBillTotal,156.6,etBillTotal,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
1,null,,,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,tvTipTotal,$ 0.15,Tip Amount: $ 0.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,tvTotalWithTip,$ 1.15,Total with Tip: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,tvPersonPay,$ 1.15,Each Person Pays: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,btCalculate,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,wrong,.MainActivity,
1,btReset,Reset,Reset,,android.widget.Button,clickable,,,,,,,wrong,.MainActivity,
1,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,null,,OpenHelsanaTwice the benefits,,android.view.View,clickable,OpenHelsanaTwice the benefits,,,,,,wrong,.MainActivity,
2,btCalculate,Calculate,Calculate,,android.widget.Button,clickable,,,,,,,correct,.MainActivity,
2,null,Tip Calculator,Tip Calculator,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,share_tip_info,,Share share_tip_info,,android.widget.TextView,clickable,Share,,,,,,wrong,.MainActivity,
2,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.MainActivity,
2,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,null,,buyer-guide-cx-software% Futm_source% Dgoogle% utm_medium% Dretargeting% utm_campaign% Dcountry_dach% Ctactic_visitor-to-lead% Cplacement_gdn% Cfreetext_buyerguide x banner,,android.view.View,clickable,buyer-guide-cx-software%3Futm_source%3Dgoogle%26utm_medium%3Dretargeting%26utm_campaign%3Dcountry_dach%257Ctactic_visitor-to-lead%257Cplacement_gdn%257Cfreetext_buyerguide320x250banner,,,,,,wrong,.MainActivity,
2,null,Enter Bill Info Below!,Enter Bill Info Below!,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,null,Person(s):,Person(s):,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,etPerson,1,etPerson Enter Bill Info Below!,,android.widget.EditText,fillable,,,,,,Enter Bill Info Below! Enter Bill Info Below!,wrong,.MainActivity,Person(s):
2,null,Tip:,Tip:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,null,%,%,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,etTipAmount,1515,etTipAmount,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,Tip:
2,null,Bill Total:,Bill Total:,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,null,$,$,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,etBillTotal,156.6,etBillTotal,,android.widget.EditText,fillable,,,,,,,wrong,.MainActivity,
2,null,,,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,tvTipTotal,$ 0.15,Tip Amount: $ 0.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,tvTotalWithTip,$ 1.15,Total with Tip: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,tvPersonPay,$ 1.15,Each Person Pays: $ 1.15,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,btReset,Reset,Reset,,android.widget.Button,clickable,,,,,,,wrong,.MainActivity,
2,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
2,null,,OpenHelsanaTwice the benefits,,android.view.View,clickable,OpenHelsanaTwice the benefits,,,,,,wrong,.MainActivity,
