algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,atm,android,fast,0.474777448,0.727002967,0.81305638,0.884272997,0.902077151,0.678485666,80.28175855,0
atm_0,atm,android,glove,0.569732938,0.792284866,0.848664688,0.910979228,0.934718101,0.743761527,67.96658301,47541
atm_0,atm,android,w2v,0.471810089,0.759643917,0.81305638,0.887240356,0.910979228,0.683585742,91.31391954,16122
atm_0,atm,android,wm,0.572700297,0.798219585,0.863501484,0.908011869,0.925816024,0.74331149,29.72368097,13149
atm_0,craftdroid,android,fast,0.376854599,0.623145401,0.747774481,0.81305638,0.863501484,0.605942532,119.1859467,0
atm_0,craftdroid,android,glove,0.418397626,0.664688427,0.783382789,0.836795252,0.890207715,0.639930055,108.1219568,142817
atm_0,craftdroid,android,w2v,0.394658754,0.629080119,0.753709199,0.827893175,0.872403561,0.618538391,127.4330404,45375
atm_0,craftdroid,android,wm,0.456973294,0.738872404,0.845697329,0.896142433,0.916913947,0.682398012,36.16324401,4923
atm_0,intersection,android,fast,0.477744807,0.729970326,0.821958457,0.869436202,0.899109792,0.684519306,47.01238632,0
atm_0,intersection,android,glove,0.540059347,0.774480712,0.857566766,0.896142433,0.919881306,0.731174871,44.72033334,42198
atm_0,intersection,android,w2v,0.46884273,0.75074184,0.807121662,0.866468843,0.899109792,0.683036749,58.51903462,15355
atm_0,intersection,android,wm,0.53115727,0.789317507,0.851632047,0.899109792,0.919881306,0.726708901,17.84076524,13179
atm_0,union,android,fast,0.382789318,0.605341246,0.756676558,0.827893175,0.87537092,0.605226535,144.4869499,0
atm_0,union,android,glove,0.459940653,0.676557864,0.792284866,0.851632047,0.887240356,0.659782944,133.6390648,153387
atm_0,union,android,w2v,0.388724036,0.599406528,0.744807122,0.827893175,0.872403561,0.607716653,164.1986248,46724
atm_0,union,android,wm,0.43620178,0.738872404,0.848664688,0.908011869,0.922848665,0.67585216,43.85075903,4886
craftdroid,atm,android,fast,0.537091988,0.762611276,0.836795252,0.866468843,0.90504451,0.717181126,39.78270674,0
craftdroid,atm,android,glove,0.534124629,0.762611276,0.830860534,0.869436202,0.893175074,0.713065646,31.15183043,13871
craftdroid,atm,android,w2v,0.522255193,0.777448071,0.824925816,0.872403561,0.899109792,0.710349081,45.79832268,3858
craftdroid,atm,android,wm,0.540059347,0.801186944,0.827893175,0.872403561,0.899109792,0.720359413,13.28495789,296
craftdroid,craftdroid,android,fast,0.412462908,0.6884273,0.810089021,0.845697329,0.896142433,0.639120886,52.02092314,0
craftdroid,craftdroid,android,glove,0.454005935,0.712166172,0.801186944,0.830860534,0.869436202,0.659195893,44.56603265,42521
craftdroid,craftdroid,android,w2v,0.442136499,0.735905045,0.804154303,0.845697329,0.884272997,0.658791509,62.47347641,12403
craftdroid,craftdroid,android,wm,0.49851632,0.753709199,0.818991098,0.863501484,0.87537092,0.688089503,19.83219481,310
craftdroid,intersection,android,fast,0.516320475,0.744807122,0.818991098,0.854599407,0.899109792,0.704409921,42.77451158,0
craftdroid,intersection,android,glove,0.516320475,0.747774481,0.818991098,0.869436202,0.893175074,0.704142736,40.2437377,13723
craftdroid,intersection,android,w2v,0.50148368,0.759643917,0.816023739,0.869436202,0.902077151,0.699345018,43.36121917,3838
craftdroid,intersection,android,wm,0.519287834,0.786350148,0.824925816,0.872403561,0.899109792,0.710424392,13.29498506,292
craftdroid,union,android,fast,0.439169139,0.703264095,0.810089021,0.848664688,0.896142433,0.649977653,66.39483643,0
craftdroid,union,android,glove,0.480712166,0.715133531,0.795252226,0.830860534,0.869436202,0.666195433,42.50303173,42669
craftdroid,union,android,w2v,0.465875371,0.738872404,0.801186944,0.848664688,0.881305638,0.664955844,56.91242576,12423
craftdroid,union,android,wm,0.504451039,0.756676558,0.81305638,0.860534125,0.87537092,0.687914653,22.1872499,314
custom,atm,android,fast,0.572700297,0.789317507,0.878338279,0.913946588,0.934718101,0.742275097,59.63775563,0
custom,atm,android,glove,0.560830861,0.795252226,0.869436202,0.902077151,0.925816024,0.7343986,59.07347918,48594
custom,atm,android,w2v,0.56379822,0.810089021,0.878338279,0.916913947,0.940652819,0.742662799,64.79207253,16194
custom,atm,android,wm,0.640949555,0.836795252,0.887240356,0.919881306,0.928783383,0.779637883,18.64599514,140
custom,craftdroid,android,fast,0.50148368,0.753709199,0.821958457,0.881305638,0.916913947,0.697308648,92.44921041,0
custom,craftdroid,android,glove,0.519287834,0.777448071,0.851632047,0.887240356,0.922848665,0.718520569,89.13569069,140838
custom,craftdroid,android,w2v,0.486646884,0.792284866,0.851632047,0.913946588,0.928783383,0.702787713,104.4041424,44886
custom,craftdroid,android,wm,0.614243323,0.804154303,0.860534125,0.90504451,0.93768546,0.762863082,24.60601377,0
custom,intersection,android,fast,0.540059347,0.771513353,0.848664688,0.884272997,0.916913947,0.726392231,61.45915556,0
custom,intersection,android,glove,0.537091988,0.774480712,0.854599407,0.887240356,0.913946588,0.725658532,53.00559282,41190
custom,intersection,android,w2v,0.513353116,0.777448071,0.851632047,0.893175074,0.922848665,0.715307536,70.83705091,15055
custom,intersection,android,wm,0.581602374,0.818991098,0.872403561,0.908011869,0.928783383,0.753000643,18.21490908,181
custom,union,android,fast,0.554896142,0.786350148,0.839762611,0.902077151,0.931750742,0.725177057,90.24809909,0
custom,union,android,glove,0.540059347,0.741839763,0.839762611,0.902077151,0.925816024,0.711633352,87.4893868,156323
custom,union,android,w2v,0.53115727,0.792284866,0.869436202,0.913946588,0.934718101,0.716882015,115.2904589,47137
custom,union,android,wm,0.643916914,0.798219585,0.860534125,0.90504451,0.922848665,0.7676493,25.08895493,0
atm_0,atm,blogs,fast,0.513353116,0.774480712,0.845697329,0.899109792,0.916913947,0.708729316,68.64965129,163
atm_0,atm,blogs,glove,0.545994065,0.798219585,0.869436202,0.902077151,0.925816024,0.731905447,74.83784795,21761
atm_0,atm,blogs,w2v,0.510385757,0.768545994,0.833827893,0.890207715,0.908011869,0.702370126,87.9999032,7475
atm_0,atm,blogs,wm,0.617210682,0.810089021,0.866468843,0.902077151,0.916913947,0.765481182,26.7378552,12897
atm_0,craftdroid,blogs,fast,0.400593472,0.637982196,0.762611276,0.804154303,0.860534125,0.618721699,100.7226174,190
atm_0,craftdroid,blogs,glove,0.415430267,0.652818991,0.765578635,0.821958457,0.869436202,0.630878242,104.8553514,69653
atm_0,craftdroid,blogs,w2v,0.40652819,0.640949555,0.75074184,0.801186944,0.851632047,0.622766432,133.1394122,27585
atm_0,craftdroid,blogs,wm,0.483679525,0.741839763,0.87537092,0.910979228,0.934718101,0.700681077,36.82978821,4779
atm_0,intersection,blogs,fast,0.49851632,0.756676558,0.830860534,0.878338279,0.908011869,0.700894211,45.66615486,124
atm_0,intersection,blogs,glove,0.548961424,0.78041543,0.857566766,0.884272997,0.916913947,0.734601622,49.93685818,19956
atm_0,intersection,blogs,w2v,0.492581602,0.753709199,0.830860534,0.872403561,0.90504451,0.696353359,55.7702136,7139
atm_0,intersection,blogs,wm,0.557863501,0.768545994,0.851632047,0.887240356,0.90504451,0.734133309,18.01844192,12927
atm_0,union,blogs,fast,0.385756677,0.620178042,0.774480712,0.816023739,0.863501484,0.608496588,132.1631534,236
atm_0,union,blogs,glove,0.412462908,0.643916914,0.774480712,0.836795252,0.869436202,0.628077703,132.8753364,73198
atm_0,union,blogs,w2v,0.388724036,0.620178042,0.753709199,0.816023739,0.854599407,0.608454662,168.9600067,28290
atm_0,union,blogs,wm,0.471810089,0.744807122,0.866468843,0.908011869,0.931750742,0.696974788,45.97322297,4742
craftdroid,atm,blogs,fast,0.522255193,0.741839763,0.816023739,0.857566766,0.884272997,0.696524909,35.12089372,25
craftdroid,atm,blogs,glove,0.560830861,0.765578635,0.821958457,0.869436202,0.893175074,0.72479663,37.70439696,5962
craftdroid,atm,blogs,w2v,0.534124629,0.744807122,0.804154303,0.839762611,0.87537092,0.703462168,42.67406511,1888
craftdroid,atm,blogs,wm,0.548961424,0.762611276,0.804154303,0.839762611,0.869436202,0.710962539,13.53832197,155
craftdroid,craftdroid,blogs,fast,0.462908012,0.721068249,0.801186944,0.830860534,0.863501484,0.663716758,51.36980629,25
craftdroid,craftdroid,blogs,glove,0.49851632,0.727002967,0.801186944,0.827893175,0.87537092,0.682905046,65.50033617,21551
craftdroid,craftdroid,blogs,w2v,0.471810089,0.703264095,0.798219585,0.836795252,0.860534125,0.664179222,67.63079834,9081
