src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_atm_neighbor,target_file_name,wm
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,plusbutton,0.2268301385428495
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,,open navigation drawer,,,,0.23687578484381874
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,today budget,view,,,,,0.2227144355654227
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,current money,,,,,0.2245328922787741
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,daily amount,view,,,,,0.21663617735373003
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,daily amount,,,,,0.21663617735373003
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,minusbutton,0.2268301385428495
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,amount,input amount,,,,,0.20306918957874395
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,ic add,,,navigate,,,,0.25397574385940447
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,note optional,input note,,,,,0.2769808651007018
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,ic add,do,do,,,,,0.31556257480504074
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,ic add,test ad,,,,,,0.27013955175720095
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,detail fid dcom tech news,,,,0.27676310991185465
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,tech news,,,,0.28099583302989195
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,follow late tech news,,,,0.28244496635706584
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,new application specially design forthose interested technology news,,,,0.28449348761116106
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3.0,,fab,,,,ic add,do,do,,,,,0.31556257480504074
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3.0,,fab,,,,ic add,,input note,,,,,0.2604407476029794
Expense2,Expense2-Expense3,1.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,money,,amount,input amount,,,,,0.21473363428949654
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,money,,,image button,,,,plusbutton,0.19383288558866305
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,money,,,,open navigation drawer,,,,0.18229689704508215
