src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_atm_neighbor,target_file_name,fast
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,plusbutton,0.47108561793963116
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,,open navigation drawer,,,,0.4833161036173503
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,today budget,view,,,,,0.6096811592578888
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,current money,,,,,0.5611309111118317
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,daily amount,view,,,,,0.5491025149822235
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,daily amount,,,,,0.5491025149822235
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,minusbutton,0.47651029626528424
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,amount,input amount,,,,,0.5649834871292114
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,ic add,,,navigate,,,,0.5023830533027649
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,note optional,input note,,,,,0.6269313991069794
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,ic add,do,do,,,,,0.3197295069694519
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,ic add,test ad,,,,,,0.5129909664392471
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,detail fid dcom tech news,,,,0.5826066533724467
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,tech news,,,,0.5252639055252075
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,follow late tech news,,,,0.5963676969210306
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,new application specially design forthose interested technology news,,,,0.6053590377171835
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3.0,,fab,,,,ic add,do,do,,,,,0.3197295069694519
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3.0,,fab,,,,ic add,,input note,,,,,0.5873790681362152
Expense2,Expense2-Expense3,1.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,money,,amount,input amount,,,,,0.7984322905540466
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,money,,,image button,,,,plusbutton,0.5254343897104263
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,money,,,,open navigation drawer,,,,0.5071147382259369
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,money,,today budget,view,,,,,0.6272129118442535
