src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_atm_neighbor,target_file_name,glove
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,plusbutton,0.11047431081533432
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,,open navigation drawer,,,,0.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,today budget,view,,,,,0.18165837228298187
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,current money,,,,,0.18978184461593628
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,daily amount,view,,,,,0.18165837228298187
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,ic add,,daily amount,,,,,0.1511135995388031
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,ic add,,image button,,,,minusbutton,0.11047431081533432
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,amount,input amount,,,,,0.13076812028884888
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,ic add,,,navigate,,,,0.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,ic add,note optional,input note,,,,,0.17842264473438263
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,ic add,do,do,,,,,0.2702845335006714
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,ic add,test ad,,,,,,0.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,detail fid dcom tech news,,,,0.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,tech news,,,,0.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,ic add,,,follow late tech news,,,,0.0
