src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,target_atm_neighbor,target_file_name,fast
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,image button,,,,,main activity,,plusbutton,0.668173611164093
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,,open navigation drawer,,,,main activity,,,1.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,today budget,view,,,,,main activity,,,0.7153365612030029
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,,current money,,,,today budget,main activity,,,0.7624200582504272
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,daily amount,view,,,,,main activity,,,0.7153365612030029
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,,daily amount,,,,daily amount,main activity,,,0.7666107714176178
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,image button,,,,,main activity,,minusbutton,0.6735982894897461
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,,ic add,amount,input amount,,,,,input activity,,,0.6123934239149094
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,,main activity,,ic add,,,navigate,,,,input activity,,,0.7680758535861969
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,,ic add,note optional,input note,,,,amount,input activity,,,0.6054642498493195
