src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,wm
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,image button,,,,,main activity,0.31258229668839443
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,,open navigation drawer,,,,main activity,0.28709372835903374
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,today budget,view,,,,,main activity,0.30819436370465353
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,current money,,,,today budget,main activity,0.2935909985453591
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,daily amount,view,,,,,main activity,0.3019177299753272
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,daily amount,,,,daily amount,main activity,0.33153996725570406
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,image button,,,,,main activity,0.31258229668839443
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,amount,input amount,,,,,input activity,0.24029792498554606
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,,main activity,,,navigate,,,,input activity,0.2617605469089278
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,note optional,input note,,,,amount,input activity,0.23157169340354283
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,,main activity,do,do,,,,note optional,input activity,0.2487175890395991
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,,main activity,test ad,,,,,,input activity,0.24677406318872694
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,detail fid dcom tech news,,,,input activity,0.24549242378868938
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,tech news,,,,input activity,0.25995374977884494
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,follow late tech news,,,,input activity,0.2464457680417766
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,new application specially design forthose interested technology news,,,,input activity,0.23826939065321667
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3.0,,fab,,,,,main activity,do,do,,,,,input activity,0.28662521527959794
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3.0,,fab,,,,,main activity,,input note,,,,amount,input activity,0.24134826426203207
Expense2,Expense2-Expense3,1.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,amount,input amount,,,,,input activity,0.2723952791607682
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.2573920855585837
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,,open navigation drawer,,,,main activity,0.2484383990044452
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,today budget,view,,,,,main activity,0.27364829047590034
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,,current money,,,,today budget,main activity,0.2725007398257867
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.28826015782509357
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.2573920855585837
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,,expense value,,,,,expense activity,,,navigate,,,,input activity,0.2563738151564937
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,note optional,input note,,,,amount,input activity,0.24885258945168104
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,,expense value,,,,,expense activity,do,do,,,,note optional,input activity,0.26425146794296284
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,,expense value,,,,,expense activity,test ad,,,,,,input activity,0.26144558386390393
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,detail fid dcom tech news,,,,input activity,0.25403460420076757
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,tech news,,,,input activity,0.2683716277675856
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,follow late tech news,,,,input activity,0.2525032681391717
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,new application specially design forthose interested technology news,,,,input activity,0.24646034484695598
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3.0,,expense value,,,,,expense activity,do,do,,,,,input activity,0.2830082817237257
Expense2,Expense2-Expense3,2.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2.0,add description,expense description,,,,,expense activity,note optional,input note,,,,amount,input activity,0.24638201700783413
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.24036422976281854
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,,open navigation drawer,,,,main activity,0.23901939953447665
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,today budget,view,,,,,main activity,0.2607973564200538
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,current money,,,,today budget,main activity,0.26318243988447737
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.2537404683744924
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.24036422976281854
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,add description,expense description,,,,,expense activity,amount,input amount,,,,,input activity,0.2510503890738738
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,add description,expense description,,,,,expense activity,,,navigate,,,,input activity,0.23636516038168504
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,add description,expense description,,,,,expense activity,do,do,,,,note optional,input activity,0.25539382860121596
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,add description,expense description,,,,,expense activity,test ad,,,,,,input activity,0.23981136290605173
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,detail fid dcom tech news,,,,input activity,0.2548849577307811
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,tech news,,,,input activity,0.2435113134841789
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,follow late tech news,,,,input activity,0.25085022331544155
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,new application specially design forthose interested technology news,,,,input activity,0.24254735997624427
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3.0,add description,expense description,,,,,expense activity,do,do,,,,,input activity,0.25651428879349125
Expense2,Expense2-Expense3,3.0,correct,android.widget.Button,android.widget.Button,clickable,clickable,3.0,,date picker,,,,,expense activity,do,do,,,,,input activity,0.2699186935055025
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,image button,,,,,main activity,0.2574307809969546
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,,open navigation drawer,,,,main activity,0.24709276998853985
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,today budget,view,,,,,main activity,0.2622355694458424
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,current money,,,,today budget,main activity,0.25814417968883174
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,daily amount,view,,,,,main activity,0.2588408812153113
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.26969185902313
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,image button,,,,,main activity,0.2574307809969546
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1.0,,date picker,,,,,expense activity,amount,input amount,,,,,input activity,0.2562951520572512
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1.0,,date picker,,,,,expense activity,,,navigate,,,,input activity,0.24788170516196664
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1.0,,date picker,,,,,expense activity,note optional,input note,,,,amount,input activity,0.23817880504941596
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1.0,,date picker,,,,,expense activity,do,do,,,,note optional,input activity,0.25374653135637903
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,2.0,,date picker,,,,,expense activity,test ad,,,,,,input activity,0.2515012490008776
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.view.View,clickable,clickable,2.0,,date picker,,,,,expense activity,,,detail fid dcom tech news,,,,input activity,0.2472020421645838
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.view.View,clickable,clickable,2.0,,date picker,,,,,expense activity,,,tech news,,,,input activity,0.2606237889693728
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.view.View,clickable,clickable,2.0,,date picker,,,,,expense activity,,,follow late tech news,,,,input activity,0.24746780833657836
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.view.View,clickable,clickable,2.0,,date picker,,,,,expense activity,,,new application specially design forthose interested technology news,,,,input activity,0.23840360273007918
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,3.0,,date picker,,,,,expense activity,,input note,,,,amount,input activity,0.25173883670282715
Expense4,Expense4-Expense2,0.0,correct,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,add income,btn add income,,,,,activity record main,,fab,,,,,main activity,0.2659520928194858
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,add income,btn add income,,,,,activity record main,expense,,,,,,main activity,0.29555674503982854
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.ImageView,clickable,clickable,0.0,add income,btn add income,,,,,activity record main,,,option,,,,main activity,0.284874827343336
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,add income,btn add income,,,,,activity record main,total month expense,total month description,,,,,main activity,0.2935336100607202
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,0.0,add income,btn add income,,,,,activity record main,,total month,,,,,main activity,0.3039000751576695
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1.0,add income,btn add income,,,,,activity record main,,expense value,,,,,expense activity,0.2614365578607322
Expense4,Expense4-Expense2,0.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,1.0,add income,btn add income,,,,,activity record main,expense,,,,,,expense activity,0.2576784897387094
