src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,target_atm_neighbor,target_file_name,wm
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,image button,,,,,main activity,,plusbutton,0.3253648252568854
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,,open navigation drawer,,,,main activity,,,0.32888891616862653
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,today budget,view,,,,,main activity,,,0.3620771550300517
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,,current money,,,,today budget,main activity,,,0.3343636009627274
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,daily amount,view,,,,,main activity,,,0.33857530366326977
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,ic add,,daily amount,,,,daily amount,main activity,,,0.33769316540157834
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,ic add,,image button,,,,,main activity,,minusbutton,0.3253648252568854
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,,ic add,amount,input amount,,,,,input activity,,,0.27448542069811643
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,,main activity,,ic add,,,navigate,,,,input activity,,,0.2741404709697901
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,,ic add,note optional,input note,,,,amount,input activity,,,0.27782891540146987
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,,main activity,,ic add,do,do,,,,note optional,input activity,,,0.28049904064921544
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,,main activity,,ic add,test ad,,,,,,input activity,,,0.2780689628458361
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,ic add,,,detail fid dcom tech news,,,,input activity,,,0.2892943868491788
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,ic add,,,tech news,,,,input activity,,,0.28187501208865035
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,ic add,,,follow late tech news,,,,input activity,,,0.2842883185733313
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,ic add,,,new application specially design forthose interested technology news,,,,input activity,,,0.2680349001776117
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3.0,,fab,,,,,main activity,,ic add,do,do,,,,,input activity,,,0.2639040094553013
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3.0,,fab,,,,,main activity,,ic add,,input note,,,,amount,input activity,,,0.2841738425773173
Expense2,Expense2-Expense3,1.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,money,,amount,input amount,,,,,input activity,,,0.31000773316652525
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,money,,,image button,,,,,main activity,,plusbutton,0.25611545606825364
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,money,,,,open navigation drawer,,,,main activity,,,0.25826374895482274
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,money,,today budget,view,,,,,main activity,,,0.2898188436802146
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,money,,,current money,,,,today budget,main activity,,,0.3246429729157019
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,money,,,daily amount,,,,daily amount,main activity,,,0.29339998471298173
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,money,,,image button,,,,,main activity,,minusbutton,0.25611545606825364
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,,expense value,,,,,expense activity,money,,,,navigate,,,,input activity,,,0.26823882460842874
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,money,,note optional,input note,,,,amount,input activity,,,0.27934277182489875
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,,expense value,,,,,expense activity,money,,do,do,,,,note optional,input activity,,,0.2656031151047312
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,,expense value,,,,,expense activity,money,,test ad,,,,,,input activity,,,0.26089462446726425
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,money,,,,detail fid dcom tech news,,,,input activity,,,0.2779728102710105
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,money,,,,tech news,,,,input activity,,,0.2781935245537783
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,money,,,,follow late tech news,,,,input activity,,,0.2718893783642065
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,money,,,,new application specially design forthose interested technology news,,,,input activity,,,0.2609294483588428
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3.0,,expense value,,,,,expense activity,money,,do,do,,,,,input activity,,,0.2546806342214757
Expense2,Expense2-Expense3,2.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2.0,add description,expense description,,,,,expense activity,,,note optional,input note,,,,amount,input activity,,,0.3003670002638574
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,,,image button,,,,,main activity,,plusbutton,0.2685289434972312
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,,,,open navigation drawer,,,,main activity,,,0.27131282027799075
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,,today budget,view,,,,,main activity,,,0.30122143698518866
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,,,current money,,,,today budget,main activity,,,0.307133293795782
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,,,daily amount,,,,daily amount,main activity,,,0.3010510079134209
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,,,image button,,,,,main activity,,minusbutton,0.2685289434972312
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,add description,expense description,,,,,expense activity,,,amount,input amount,,,,,input activity,,,0.307038512322732
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,add description,expense description,,,,,expense activity,,,,,navigate,,,,input activity,,,0.27562298686550935
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,add description,expense description,,,,,expense activity,,,do,do,,,,note optional,input activity,,,0.27549032086364333
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,add description,expense description,,,,,expense activity,,,test ad,,,,,,input activity,,,0.26278661216431143
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,,,detail fid dcom tech news,,,,input activity,,,0.28854452343748477
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,,,tech news,,,,input activity,,,0.274614183791973
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,,,follow late tech news,,,,input activity,,,0.27585939372629553
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,add description,expense description,,,,,expense activity,,,,,new application specially design forthose interested technology news,,,,input activity,,,0.2721407102924465
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3.0,add description,expense description,,,,,expense activity,,,do,do,,,,,input activity,,,0.2560293965652402
Expense2,Expense2-Expense3,3.0,correct,android.widget.Button,android.widget.Button,clickable,clickable,3.0,,date picker,,,,,expense activity,,,do,do,,,,,input activity,,,0.26722453537540214
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,,,image button,,,,,main activity,,plusbutton,0.286268087478541
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,,,,open navigation drawer,,,,main activity,,,0.2756169720696881
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,,today budget,view,,,,,main activity,,,0.3024484414894239
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,,,current money,,,,today budget,main activity,,,0.30062302902348376
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,,daily amount,view,,,,,main activity,,,0.2969506251855763
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0.0,,date picker,,,,,expense activity,,,,daily amount,,,,daily amount,main activity,,,0.31123118748107353
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0.0,,date picker,,,,,expense activity,,,,image button,,,,,main activity,,minusbutton,0.286268087478541
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1.0,,date picker,,,,,expense activity,,,amount,input amount,,,,,input activity,,,0.2967684032472347
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1.0,,date picker,,,,,expense activity,,,,,navigate,,,,input activity,,,0.28402514595573664
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1.0,,date picker,,,,,expense activity,,,note optional,input note,,,,amount,input activity,,,0.28674629356063375
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1.0,,date picker,,,,,expense activity,,,do,do,,,,note optional,input activity,,,0.2743114566162385
Expense2,Expense2-Expense3,3.0,wrong,android.widget.Button,android.widget.TextView,clickable,label,2.0,,date picker,,,,,expense activity,,,test ad,,,,,,input activity,,,0.2803041626722166
