event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,root_fragment,,,,android.widget.ImageButton,clickable,,,,,,,correct,.activity.MainActivity,
0,icon_cart,,ic_basket_grey_24dp Bag icon_cart,ic_basket_grey_24dp,android.widget.ImageView,clickable,Bag,,,,,,wrong,.activity.MainActivity,
0,toolbar_title,Featured,Featured,,android.widget.TextView,label,,,,,,,wrong,.activity.MainActivity,
0,action_search,,Search action_search,,android.widget.TextView,clickable,Search,,,,,,wrong,.activity.MainActivity,
0,image,,,,android.widget.ImageView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Profile,Profile,,android.widget.CheckedTextView,clickable,,,,,,,correct,.activity.MainActivity,
1, _email,Sign in,Sign in,,android.widget.TextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Featured,Featured,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Shop,Shop,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Social,Social,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Store Locator,Store Locator,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_navigation_view,,,,android.widget.FrameLayout,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,My Wishlist,My Wishlist,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
1,design_menu_item_ ,Settings,Settings,,android.widget.CheckedTextView,clickable,,,,,,,wrong,.activity.MainActivity,
2,button_log_in,Log In,Log In,,android.widget.Button,clickable,,,,,,,correct,.activity.ProfileActivity,
2,icon_cart,,ic_basket_grey_24dp Bag icon_cart,ic_basket_grey_24dp,android.widget.ImageView,clickable,Bag,,,,,,wrong,.activity.ProfileActivity,
2,toolbar_title,Profile,Profile,,android.widget.TextView,label,,,,,,,wrong,.activity.ProfileActivity,
2,action_search,,Search action_search,,android.widget.TextView,clickable,Search,,,,,,wrong,.activity.ProfileActivity,
2,null,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.activity.ProfileActivity,
2,scroll_view,Hi there!,Hi there!,,android.widget.TextView,label,,,,,,,wrong,.activity.ProfileActivity,
2,scroll_view,Sign in to your Rainbow account,Sign in to your Rainbow account,,android.widget.TextView,label,,,,,,,wrong,.activity.ProfileActivity,
2,button_sign_up,Join,Join,,android.widget.Button,clickable,,,,,,,wrong,.activity.ProfileActivity,
2, ,Find a Store,Find a Store,,android.widget.TextView,clickable,,,,,,,wrong,.activity.ProfileActivity,
2, ,Call Us,Call Us,,android.widget.TextView,clickable,,,,,,,wrong,.activity.ProfileActivity,
2, ,Email Us,Email Us,,android.widget.TextView,clickable,,,,,,,wrong,.activity.ProfileActivity,
2, ,Returns,Returns,,android.widget.TextView,clickable,,,,,,,wrong,.activity.ProfileActivity,
2, ,FAQ,FAQ,,android.widget.TextView,clickable,,,,,,,wrong,.activity.ProfileActivity,
3,text_username,,text_username,,android.widget.EditText,fillable,,,Email,,,,correct,.activity.LoginAndSignUpActivity,
3,toolbar_title,Hello again,Hello again,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
3,null,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
3,tab_layout,Log In,Log In,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
3,tab_layout,Join,Join,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
3,text_password,,text_password,,android.widget.EditText,fillable,,,Password,,,,wrong,.activity.LoginAndSignUpActivity,
3,forgot_password,Forgot Password?,Forgot Password?,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
3,button_sign_in,Sign In,Sign In,,android.widget.Button,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,text_password,,text_password,,android.widget.EditText,fillable,,,Password,,,,correct,.activity.LoginAndSignUpActivity,
4,toolbar_title,Hello again,Hello again,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,null,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,tab_layout,Log In,Log In,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,tab_layout,Join,Join,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,text_username,p198573se@sxwabw.al.ne,text_username,,android.widget.EditText,fillable,,,Email,,,,wrong,.activity.LoginAndSignUpActivity,
4,forgot_password,Forgot Password?,Forgot Password?,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
4,button_sign_in,Sign In,Sign In,,android.widget.Button,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
5,button_sign_in,Sign In,Sign In,,android.widget.Button,clickable,,,,,,,correct,.activity.LoginAndSignUpActivity,
5,toolbar_title,Hello again,Hello again,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
5,null,,,,android.widget.ImageButton,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
5,tab_layout,Log In,Log In,,android.widget.TextView,label,,,,,,,wrong,.activity.LoginAndSignUpActivity,
5,tab_layout,Join,Join,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
5,text_username,p198573se@sxwabw.al.ne,text_username,,android.widget.EditText,fillable,,,Email,,,,wrong,.activity.LoginAndSignUpActivity,
5,text_password,,text_password,,android.widget.EditText,fillable,,,Password,,,,wrong,.activity.LoginAndSignUpActivity,
5,forgot_password,Forgot Password?,Forgot Password?,,android.widget.TextView,clickable,,,,,,,wrong,.activity.LoginAndSignUpActivity,
