event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,imageButton2,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,, 0.00,,,correct,.MainActivity,
0,null,,Open navigation drawer,,android.widget.ImageButton,clickable,Open navigation drawer,,,,,,wrong,.MainActivity,
0, View3,TODAYS BUDGET,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,current_money,$ 0.00,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,TODAYS BUDGET,,TODAYS BUDGET TODAYS BUDGET,wrong,.MainActivity,
0, View2,DAILY AMOUNT:,DAILY AMOUNT:,,android.widget.TextView,label,,,,$ 0.00,,,wrong,.MainActivity,
0,daily_amount,0.00,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,DAILY AMOUNT:,,DAILY AMOUNT: DAILY AMOUNT:,wrong,.MainActivity,
0,imageButton,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,.MainActivity,
1,input_amount,Amount,Amount,,android.widget.EditText,fillable,,,,,,,correct,.InputActivity,
1,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.InputActivity,
1,input_note,Note (Optional),Note (Optional),,android.widget.EditText,fillable,,,,Amount,,,wrong,.InputActivity,
1,done ,Done,Done,,android.widget.Button,clickable,,,,Note (Optional),,,wrong,.InputActivity,
2,input_note,Note (Optional),Note (Optional),,android.widget.EditText,fillable,,,,Amount,Note (Optional),,correct,.InputActivity,
2,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.InputActivity,
2,input_amount,Amount,Amount,,android.widget.EditText,fillable,,,,,Amount,,wrong,.InputActivity,
2,done ,Done,Done,,android.widget.Button,clickable,,,,Note (Optional),,,wrong,.InputActivity,
2,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.InputActivity,
2,null,,details% Fid% Dcom.tech.news,,android.view.View,clickable,details%3Fid%3Dcom.tech.news,,,,,,wrong,.InputActivity,
2,null,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,.InputActivity,
2,null,,Follow the latest tech news,,android.view.View,clickable,Follow the latest tech news,,,,,,wrong,.InputActivity,
2,null,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,- A new application specially designed forthose interested in technology news.,,,,,,wrong,.InputActivity,
3,done ,Done,Done,,android.widget.Button,clickable,,,,45,,,correct,.InputActivity,
3,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.InputActivity,
3,input_amount,Amount,Amount,,android.widget.EditText,fillable,,,,,Amount,,wrong,.InputActivity,
3,input_note,45,Note (Optional),,android.widget.EditText,fillable,,,,Amount,Note (Optional),,wrong,.InputActivity,
3,null,Test Ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,.InputActivity,
3,null,,details% Fid% Dcom.tech.news,,android.view.View,clickable,details%3Fid%3Dcom.tech.news,,,,,,wrong,.InputActivity,
3,null,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,.InputActivity,
3,null,,Follow the latest tech news,,android.view.View,clickable,Follow the latest tech news,,,,,,wrong,.InputActivity,
3,null,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,- A new application specially designed forthose interested in technology news.,,,,,,wrong,.InputActivity,
