event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,fab,,ic_add_shopping_cart_white_24dp,ic_add_shopping_cart_white_24dp,android.widget.ImageButton,clickable,,,,,,,correct,.MainActivity,
0,drawer_layout,Your shopping lists,Your shopping lists,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
0,drawer_layout,,Open navigation drawer,,android.widget.ImageButton,clickable,Open navigation drawer,,,,,,wrong,.MainActivity,
0,empty_listview_ view,You have no shopping lists. Add one using the button below.,You have no shopping lists. Add one using the button below.,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
1,shoppingListName ,Shopping list name,Shopping list name,,android.widget.EditText,fillable,,,,,,,correct,.ShoppingListEditActivity,
1,null,Add Shopping List,Add Shopping List,,android.widget.TextView,label,,,,,,,wrong,.ShoppingListEditActivity,
1,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.ShoppingListEditActivity,
1,shoppingListDescription ,Description,Description,,android.widget.EditText,fillable,,,,,,,wrong,.ShoppingListEditActivity,
1,addShoppingList ,Save,Save,,android.widget.Button,clickable,,,,,,,wrong,.ShoppingListEditActivity,
2,addShoppingList ,Save,Save,,android.widget.Button,clickable,,,,,,,correct,.ShoppingListEditActivity,
2,null,Add Shopping List,Add Shopping List,,android.widget.TextView,label,,,,,,,wrong,.ShoppingListEditActivity,
2,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.ShoppingListEditActivity,
2,shoppingListName ,list1,Shopping list name,,android.widget.EditText,fillable,,,,,Shopping list name,,wrong,.ShoppingListEditActivity,
2,shoppingListDescription ,Description,Description,,android.widget.EditText,fillable,,,,,Description,,wrong,.ShoppingListEditActivity,
3,shoppingListName ,list1,list1,,android.widget.TextView,clickable,,,,,,,correct,.MainActivity,
3,drawer_layout,Your shopping lists,Your shopping lists,,android.widget.TextView,label,,,,,,,wrong,.MainActivity,
3,drawer_layout,,Open navigation drawer,,android.widget.ImageButton,clickable,Open navigation drawer,,,,,,wrong,.MainActivity,
3,percent ,0% completed,0% completed,,android.widget.TextView,clickable,,,,list1,,,wrong,.MainActivity,
3,itemsCount ,0 items,0 items,,android.widget.TextView,clickable,,,,0% completed,,,wrong,.MainActivity,
3,shoppingListModificationDate ,just now,just now,,android.widget.TextView,clickable,,,,0 items,,,wrong,.MainActivity,
3,fab,,ic_add_shopping_cart_white_24dp,ic_add_shopping_cart_white_24dp,android.widget.ImageButton,clickable,,,,,,,wrong,.MainActivity,
4,fab,,ic_add_shopping_cart_white_24dp,ic_add_shopping_cart_white_24dp,android.widget.ImageButton,clickable,,,,,,,correct,.ShoppingListViewActivity,
4,null,list1,list1,,android.widget.TextView,label,,,,,,,wrong,.ShoppingListViewActivity,
4,image,,Share with,,android.widget.ImageView,clickable,Share with,,,,,,wrong,.ShoppingListViewActivity,
4,null,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,.ShoppingListViewActivity,
4,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.ShoppingListViewActivity,
4,empty_listview_ view,You have no items on the list. Add one using the button below.,You have no items on the list. Add one using the button below.,,android.widget.TextView,label,,,,,,,wrong,.ShoppingListViewActivity,
5,addShoppingList ,Save,Save,,android.widget.Button,clickable,,,,,,,correct,.ItemEditActivity,
5,null,Add item,Add item,,android.widget.TextView,label,,,,,,,wrong,.ItemEditActivity,
5,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.ItemEditActivity,
5,item_name_edit_text,Item name,Item name,,android.widget.EditText,fillable,,,,,,,wrong,.ItemEditActivity,Quantity
5, _quantity_ View,Quantity,Quantity,,android.widget.TextView,label,,,,,,,wrong,.ItemEditActivity,
5,item_quantity_edit_text,1,item_quantity_edit_text,,android.widget.EditText,fillable,,,,,,,wrong,.ItemEditActivity,
5,quantity_minus_button,-,-,,android.widget.Button,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_plus_button,+,+,,android.widget.Button,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_pcs_radio,pcs,pcs,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_g_radio,g,g,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_kg_radio,kg,kg,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_ml_radio,ml,ml,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_l_radio,l,l,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_m_radio,m,m,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_oz_radio,oz,oz,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_lb_radio,lb,lb,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_fl_oz_radio,fl oz,fl oz,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_gal_radio,gal,gal,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
5,quantity_unit_ft_radio,ft,ft,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,item_name_edit_text,Item name,Item name,,android.widget.EditText,fillable,,,,,Item name,,correct,.ItemEditActivity,Quantity
6,null,Add item,Add item,,android.widget.TextView,label,,,,,,,wrong,.ItemEditActivity,
6,null,,Navigate up,,android.widget.ImageButton,clickable,Navigate up,,,,,,wrong,.ItemEditActivity,
6, _quantity_ View,Quantity,Quantity,,android.widget.TextView,label,,,,,,,wrong,.ItemEditActivity,
6,item_quantity_edit_text,1,item_quantity_edit_text,,android.widget.EditText,fillable,,,,,,,wrong,.ItemEditActivity,
6,quantity_minus_button,-,-,,android.widget.Button,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_plus_button,+,+,,android.widget.Button,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_pcs_radio,pcs,pcs,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_g_radio,g,g,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_kg_radio,kg,kg,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_ml_radio,ml,ml,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_l_radio,l,l,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_m_radio,m,m,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_oz_radio,oz,oz,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_lb_radio,lb,lb,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
6,quantity_unit_fl_oz_radio,fl oz,fl oz,,android.widget.RadioButton,clickable,,,,,,,wrong,.ItemEditActivity,
