event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,url_edittext,https://duckduckgo.com/?kao=-1&kak=-1,https://duckduckgo.com/?kao=-1&kak=-1,,android.widget.EditText,fillable,,,,,,,correct,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,favorite_icon,,world Favorite Icon favorite_icon,world,android.widget.ImageView,clickable,Favorite Icon,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,toggle_javascript,,JavaScript toggle_javascript,,android.widget.TextView,clickable,JavaScript,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,Open Navigation Drawer,,android.widget.ImageButton,clickable,Open Navigation Drawer,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,About DuckDuckGo,,android.view.View,clickable,About DuckDuckGo,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,,,android.widget.EditText,fillable,,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,S,,android.widget.Button,clickable,S,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
0,root_coordinatorlayout,,Privacy simplified.,,android.view.View,clickable,Privacy simplified.,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,url_edittext,https://duckduckgo.com/?kao=-1&kak=-1,https://duckduckgo.com/?kao=-1&kak=-1,,android.widget.EditText,fillable,,,,,https://duckduckgo.com/?kao=-1&kak=-1,,correct,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,favorite_icon,,world Favorite Icon favorite_icon,world,android.widget.ImageView,clickable,Favorite Icon,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,toggle_javascript,,JavaScript toggle_javascript,,android.widget.TextView,clickable,JavaScript,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,More options,,android.widget.ImageView,clickable,More options,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,Open Navigation Drawer,,android.widget.ImageButton,clickable,Open Navigation Drawer,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,About DuckDuckGo,,android.view.View,clickable,About DuckDuckGo,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,,,android.widget.EditText,fillable,,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,S,,android.widget.Button,clickable,S,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
1,root_coordinatorlayout,,Privacy simplified.,,android.view.View,clickable,Privacy simplified.,,,,,,wrong,com.stoutner.privacybrowser.activities.MainWebViewActivity,
