event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,AddList ,New List Name,New List Name Simply Do,,android.widget.EditText,fillable,,,,,,Simply Do Simply Do,correct,.SimplyDoActivity,
0,title,Simply Do,Simply Do,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
0,AddList ,Add,Add,,android.widget.Button,clickable,,,,,,,wrong,.SimplyDoActivity,
1,AddList ,Add,Add,,android.widget.Button,clickable,,,,,,,correct,.SimplyDoActivity,
1,title,Simply Do,Simply Do,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
1,AddList ,Sample Todo,New List Name Simply Do,,android.widget.EditText,fillable,,,,,New List Name,Simply Do Simply Do,wrong,.SimplyDoActivity,
2, 1,Sample Todo,Sample Todo,,android.widget.TextView,clickable,,,,,,,correct,.SimplyDoActivity,
2,title,Simply Do,Simply Do,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
2,AddList ,New List Name,New List Name Simply Do,,android.widget.EditText,fillable,,,,,New List Name,Simply Do Simply Do,wrong,.SimplyDoActivity,
2,AddList ,Add,Add,,android.widget.Button,clickable,,,,,,,wrong,.SimplyDoActivity,
2, 2,(0/0),(0/0),,android.widget.TextView,clickable,,,,Sample Todo,,,wrong,.SimplyDoActivity,
3,title,Delete,Delete,,android.widget.TextView,clickable,,,,,,,correct,.SimplyDoActivity,
3,alertTitle,List Options,List Options,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
3,title,Edit,Edit,,android.widget.TextView,clickable,,,,,,,wrong,.SimplyDoActivity,
4,button1,Yes,Yes,,android.widget.Button,clickable,,,,,,,correct,.SimplyDoActivity,
4,alertTitle,Delete?,Delete?,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
4,message,Are you sure you want to delete this list?,Are you sure you want to delete this list?,,android.widget.TextView,label,,,,,,,wrong,.SimplyDoActivity,
4,button2,No,No,,android.widget.Button,clickable,,,,,,,wrong,.SimplyDoActivity,
