src_event_index,src_id,src_text,src_semantic_rep,src_file_name,src_class,src_type,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_fillable_neighbor,src_neighbors,src_label,src_activity,src_atm_neighbor,src_app,target_event_index,target_id,target_text,target_semantic_rep,target_file_name,target_class,target_type,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_fillable_neighbor,target_neighbors,target_label,target_activity,target_atm_neighbor,target_app
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,today budget,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,view,daily amount,DAILY AMOUNT:,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,daily amount,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0.0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1.0,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1.0,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1.0,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2.0,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2.0,,,details% Fid% Dcom.tech.news,,android.view.View,clickable,detail fid dcom tech news,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2.0,,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2.0,,,Follow the latest tech news,,android.view.View,clickable,follow late tech news,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,2.0,,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,new application specially design forthose interested technology news,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,3.0,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3
0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,3.0,input note,,Note (Optional),,android.widget.EditText,fillable,,,,amount,note optional,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1.0,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,correct,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,today budget,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,daily amount,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,0.0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1.0,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,1.0,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2.0,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2.0,,,details% Fid% Dcom.tech.news,,android.view.View,clickable,detail fid dcom tech news,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2.0,,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2.0,,,Follow the latest tech news,,android.view.View,clickable,follow late tech news,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,2.0,,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,new application specially design forthose interested technology news,,,,,,wrong,input activity,,Expense2-Expense3
1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense2,3.0,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,note optional,,correct,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,today budget,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,daily amount,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,0.0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,1.0,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,1.0,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3
